First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Laboratory of Cognitive Neuroscience, Brain Mind Institute, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, Laboratory for Cognitive and Neurological Sciences, Neurology Unit, Department of Medicine, Faculty of Sciences, University of Fribourg, Fribourg, Switzerland, and","Dieguez, Sebastian",unifr,10.1093/scan/nsv031,https://doi.org/10.1093/scan/nsv031,http://doc.rero.ch/record/293343/files/nsv031.pdf,Distinct contributions of Brodmann areas 1 and 2 to body ownership,,"Martuzzi, Roberto;Van Der Zwaag, Wietske;Dieguez, Sebastian;Serino, Andrea;Gruetter, Rolf;Blanke, Olaf",2015,Social Cognitive and Affective Neuroscience,"Center for Neuroprosthetics, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, Laboratory of Cognitive Neuroscience, Brain Mind Institute, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, E-mail: roberto.martuzzi@epfl.ch;Centre d’Imagerie Biomédical de Lausanne, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland,;Laboratory of Cognitive Neuroscience, Brain Mind Institute, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, Laboratory for Cognitive and Neurological Sciences, Neurology Unit, Department of Medicine, Faculty of Sciences, University of Fribourg, Fribourg, Switzerland, and;Center for Neuroprosthetics, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, Laboratory of Cognitive Neuroscience, Brain Mind Institute, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland,;Centre d’Imagerie Biomédical de Lausanne, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland,;Center for Neuroprosthetics, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, Laboratory of Cognitive Neuroscience, Brain Mind Institute, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland, Department of Neurology, University Hospital, Geneva, Switzerland",Oxford University Press,2018-11-01,10,11,1449,1459,1749-5016,1749-5024,copyright,"© The Author (2015). Published by Oxford University Press. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093scannsv031,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093scannsv031&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093scannsv031&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093scannsv031&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Histology and General Embryology, University of Fribourg, Switzerland.","Schierle, G S",unifr,10.1093/cercor/7.2.130,https://doi.org/10.1093/cercor/7.2.130,http://doc.rero.ch/record/290908/files/9087821.pdf,Calretinin-immunoreactivity during postnatal development of the rat isocortex: a qualitative and quantitative study.,,"Schierle, G S;Gander, J C;D'Orlando, C;Ceilo, M R;Vogt Weisenhorn, D M",1997,"Cerebral cortex (New York, N.Y. : 1991)","Institute of Histology and General Embryology, University of Fribourg, Switzerland.;Institute of Histology and General Embryology, University of Fribourg, Switzerland.;Institute of Histology and General Embryology, University of Fribourg, Switzerland.;Institute of Histology and General Embryology, University of Fribourg, Switzerland.;Institute of Histology and General Embryology, University of Fribourg, Switzerland.",,,7,2,130,142,1047-3211,,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercor72130,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercor72130&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercor72130&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercor72130&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Fribourg Suisse, Département de Mathématiques, Pérolles, Chemin du Musée 23, CH-1700 Fribourg","Viada, Evelina",unifr,10.1093/imrn/rnn157,https://doi.org/10.1093/imrn/rnn157,http://doc.rero.ch/record/291536/files/rnn157.pdf,Nondense Subsets of Varieties in a Power of an Elliptic Curve,,"Viada, Evelina",2009,International Mathematics Research Notices,"Université de Fribourg Suisse, Département de Mathématiques, Pérolles, Chemin du Musée 23, CH-1700 Fribourg",Oxford University Press,,2009,7,1213,1246,1073-7928,1687-0247,copyright,"© The Author 2009. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093imrnrnn157,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imrnrnn157&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imrnrnn157&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imrnrnn157&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Chemistry, University of Fribourg, Fribourg, Switzerland","Schläpfer, Carl-Wilhelm",unifr,10.1351/PAC-CON-08-06-04,https://doi.org/10.1351/PAC-CON-08-06-04,http://doc.rero.ch/record/293728/files/pac-con-08-06-04.pdf,Density functional theory study of the Jahn-Teller effect in cobaltocene,,"Zlatar, Matija;Schläpfer, Carl-Wilhelm;Penka Fowe, Emmanuel;Daul, Claude A.",2009,Pure and Applied Chemistry,"Center for Chemistry, IHTM, University of Belgrade, Belgrade, Serbia;Department of Chemistry, University of Fribourg, Fribourg, Switzerland;Department of Chemistry, University of Fribourg, Fribourg, Switzerland;Department of Chemistry, University of Fribourg, Fribourg, Switzerland",De Gruyter,,81,8,1397,1411,0033-4545,1365-3075,copyright,"© 2013 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101351PACCON080604,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101351PACCON080604&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101351PACCON080604&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101351PACCON080604&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
Université de Fribourg (Switzerland) E-mail: dominic.omeara@unifr.ch,"O'Meara, Dominic",unifr,10.1017/S0009840X15000724,https://doi.org/10.1017/S0009840X15000724,http://doc.rero.ch/record/301448/files/S0009840X15000724.pdf,IAMBLICHUS AND MATHEMATICS,,"O'Meara, Dominic",2015,The Classical Review,Université de Fribourg (Switzerland) E-mail: dominic.omeara@unifr.ch,Cambridge University Press,2020-10-01,65,2,401,402,0009-840X,1464-3561,copyright,Copyright © The Classical Association 2015 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0009840X15000724,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0009840X15000724&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0009840X15000724&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0009840X15000724&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Bd. de Pérolles 90, Fribourg, Switzerland; e-mail: marco.portmann@unifr.ch, reiner.eichenberger@unifr.ch E-mail: marco.portmann@unifr.ch","Portmann, Marco",unifr,10.1017/xps.2014.1,https://doi.org/10.1017/xps.2014.1,http://doc.rero.ch/record/290952/files/S2052263014000013.pdf,Full Transparency of Politicians' Actions Does Not Increase the Quality of Political Representation,,"Stadelmann, David;Portmann, Marco;Eichenberger, Reiner",2014,Journal of Experimental Political Science,"University of Bayreuth, Universitätsstraße 30, Bayreuth, Germany; e-mail: david.stadelmann@uni-bayreuth.de E-mail: david.stadelmann@uni-bayreuth.de CREMA—Center for Research in Economics, Management and the Arts, Südstrasse 11, CH-8008 Zürich, Switzerland;University of Fribourg, Bd. de Pérolles 90, Fribourg, Switzerland; e-mail: marco.portmann@unifr.ch, reiner.eichenberger@unifr.ch E-mail: marco.portmann@unifr.ch;CREMA—Center for Research in Economics, Management and the Arts, Südstrasse 11, CH-8008 Zürich, Switzerland University of Fribourg, Bd. de Pérolles 90, Fribourg, Switzerland; e-mail: marco.portmann@unifr.ch, reiner.eichenberger@unifr.ch E-mail: marco.portmann@unifr.ch",Cambridge University Press,2019-01-01,1,1,16,23,2052-2630,2052-2649,copyright,Copyright © The Experimental Research Section of the American Political Science Association 2014 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017xps20141,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017xps20141&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017xps20141&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017xps20141&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Freiburg/Schweiz, Departement Germanistik, Avenue de l'Europe 20, CH-1700 Fribourg. harald.fricke@unifr.ch","Fricke, Harald",unifr,10.1515/ARBI.2005.317,https://doi.org/10.1515/ARBI.2005.317,http://doc.rero.ch/record/295897/files/arbi.2005.317.pdf,"Friedemann Spicker, Der deutsche Aphorismus im 20. Jahrhundert. Spiel, Bild, Erkenntnis. 2004",,"Fricke, Harald",2006,Arbitrium,"Universität Freiburg/Schweiz, Departement Germanistik, Avenue de l'Europe 20, CH-1700 Fribourg. harald.fricke@unifr.ch",Walter de Gruyter GmbH & Co. KG,,23,3,317,321,0723-2977,,copyright,"© Max Niemeyer Verlag, Tübingen 2005",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ARBI2005317,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ARBI2005317&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ARBI2005317&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ARBI2005317&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
1 University of Fribourg. University of Fribourg. E-mail: diana.ingenho@unifr.ch,"Ingenhoff, Diana",unifr,10.1515/SEM.2006.019,https://doi.org/10.1515/SEM.2006.019,http://doc.rero.ch/record/304788/files/sem.2006.019.pdf,The contribution of G. W. Leibniz's ‘cognitio symbolica’ theory to current debates on knowledge and communication management,,"Ingenhoff, Diana",2006,Semiotica,1 University of Fribourg. University of Fribourg. E-mail: diana.ingenho@unifr.ch,Walter de Gruyter,,2006,158,439,456,0037-1998,1613-3692,copyright,© Walter de Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515SEM2006019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515SEM2006019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515SEM2006019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515SEM2006019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
emeritierter Professor für Straf- und Strafprozessrecht der Universität Fribourg,"Riklin, Franz",unifr,10.1515/zstw-2014-0009,https://doi.org/10.1515/zstw-2014-0009,http://doc.rero.ch/record/296314/files/zstw-2014-0009.pdf,Das Unmittelbarkeitsprinzip im schweizerischen Strafverfahrensrecht,,"Riklin, Franz",2014,Zeitschrift für die gesamte Strafrechtswissenschaft,emeritierter Professor für Straf- und Strafprozessrecht der Universität Fribourg,De Gruyter,,126,1,172,183,0084-5310,1612-703X,copyright,"© 2014 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515zstw20140009,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zstw20140009&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zstw20140009&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zstw20140009&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg.,"Samson, Andrea C",unifr,10.1515/HUMOR.2007.001,https://doi.org/10.1515/HUMOR.2007.001,http://doc.rero.ch/record/295090/files/humor.2007.001.pdf,The interaction of cartoonist's gender and formal features of cartoons,,"Samson, Andrea C;Huber, Oswald",2007,Humor – International Journal of Humor Research,University of Fribourg.;University of Fribourg.,Walter de Gruyter,,20,1,1,25,0933-1719,1613-3722,copyright,© Walter de Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515HUMOR2007001,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515HUMOR2007001&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515HUMOR2007001&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515HUMOR2007001&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
